nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,gasto_total_par,gasto_total_gab,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
RENILDO VASCONCELOS CALHEIROS,M,74,18,0,5,14,50,20/04/1959,"283.393,10","1.099.568,37","33.763,00","25.389,44","33.981,63","32.409,64","33.726,63","32.538,33","37.650,53","30.620,56","25.957,77","19.988,78","9.601,72","1.528,07",-,"110.852,80","110.852,80","109.867,21","108.361,91","107.453,52","110.816,41","110.388,48","110.325,08","110.325,08","110.325,08",-,-
RAUL JEAN LOUIS HENRY JÚNIOR,M,86,6,0,36,6,21,06/06/1964,"294.011,61","1.116.110,40","33.763,00","38.165,25","29.302,36","32.016,22","44.657,47","39.228,39","34.719,45","33.058,24","17.205,35","5.575,16","15.158,34","4.925,38",-,"111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04","111.611,04",-,-
RICARDO CORREA DE BARROS,M,82,8,2,16,3,8,27/10/1959,"248.605,56","1.112.052,43","33.763,00","34.114,07","35.083,65","35.897,10","47.361,51","47.538,24","22.483,72","14.839,35","3.821,91","2.615,91","4.320,06","530,04",-,"111.449,81","111.363,00","111.585,60","111.421,42","110.962,81","111.065,11","110.412,97","111.435,17","110.878,73","111.477,81",-,-
RICARDO ZANATTA GUIDI,M,92,0,0,27,2,11,28/09/1977,"212.087,75","1.115.695,05","33.763,00","20.891,82","27.553,59","25.787,02","34.612,26","36.603,04","34.669,08","20.256,07","1.117,85","489,75","9.491,30","615,97",-,"111.665,83","111.665,83","111.665,83","111.665,83","110.702,58","111.665,83","111.665,83","111.665,83","111.665,83","111.665,83",-,-
JOÃO CARLOS SIQUEIRA,M,89,0,3,104,0,16,28/02/1967,"339.556,48","1.115.363,54","33.763,00","18.732,03","37.477,94","36.322,55","54.192,78","44.831,86","54.866,82","25.266,73","20.811,94","30.550,84","16.502,99","0,00",-,"111.635,71","111.635,71","111.635,71","111.599,34","111.621,16","111.599,34","111.599,34","110.786,91","111.599,34","111.650,98",-,-
RICARDO IZAR JUNIOR,M,82,2,8,10,1,9,01/08/1968,"318.098,30","1.115.705,86","33.763,00","21.993,12","26.040,58","36.284,07","82.039,32","34.496,42","25.193,31","14.757,52","10.691,35","11.857,99","54.744,62","0,00",-,"111.574,72","111.565,62","111.631,28","111.355,92","111.653,59","111.556,47","111.563,15","111.599,55","111.580,77","111.624,79",-,-
FRANCISCO EURICO DA SILVA,M,86,3,3,36,2,2,12/09/1962,"344.292,98","1.109.317,17","33.763,00","14.408,85","34.580,27","34.975,76","34.367,09","61.812,66","44.384,17","39.009,40","33.133,99","26.233,24","21.210,64","176,91",-,"111.617,15","111.617,14","111.617,12","111.617,12","111.617,12","111.160,97","110.300,06","109.687,41","110.073,19","110.009,89",-,-
GILDENEMIR DE LIMA SOUSA,M,74,4,14,12,3,18,08/11/1971,"316.273,65","1.111.841,14","33.763,00","21.687,15","23.939,17","27.502,58","41.443,63","30.200,89","96.284,55","18.286,41","23.625,66","20.193,95","13.109,66","0,00",-,"111.416,98","111.416,98","111.416,98","111.211,51","111.416,98","111.113,67","111.113,67","109.524,41","111.604,98","111.604,98",-,-
MARCO ANTÔNIO FELICIANO,M,85,7,0,38,6,6,12/10/1972,"250.282,69","1.100.514,06","33.763,00","16.409,30","15.313,17","26.204,50","40.447,31","22.449,14","43.250,46","33.839,75","21.664,84","14.490,61","16.213,61","0,00",-,"111.368,34","104.360,16","111.368,34","111.368,34","110.321,79","109.798,51","107.823,56","111.368,34","111.368,34","111.368,34",-,-
PATRUS ANANIAS DE SOUZA,M,78,5,9,42,5,5,26/01/1952,"333.980,39","1.114.717,90","33.763,00","24.018,54","39.827,35","54.717,60","42.393,82","54.875,05","34.520,85","28.314,93","23.534,46","12.411,86","17.816,65","1.549,28",-,"111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79","111.471,79",-,-
MANOEL ISIDORIO DE SANTANA JUNIOR,M,89,3,0,28,4,21,28/07/1962,"122.162,55","1.099.891,43","33.763,00","18.985,98","7.305,20","24.819,70","17.263,62","17.539,09","14.958,11","9.351,19","6.767,24","5.107,26","0,00","65,16",-,"107.571,53","110.759,99","109.535,10","111.629,57","109.059,48","111.629,57","110.968,20","109.579,33","109.579,33","109.579,33",-,-
PAULO FERNANDO DOS SANTOS,M,73,19,0,6,8,5,15/09/1957,"222.771,27","1.115.302,39","33.763,00","17.870,27","16.725,90","32.875,97","33.319,95","39.024,79","22.766,87","23.531,76","13.785,48","14.270,34","8.103,75","496,19",-,"111.659,67","111.659,67","111.659,67","111.659,67","111.659,67","110.842,80","111.182,23","111.659,67","111.659,67","111.659,67",-,-
PAULO PEREIRA DA SILVA,M,46,46,0,2,13,11,24/02/1956,"308.553,28","1.096.276,10","33.763,00","29.383,01","37.602,30","44.450,75","47.674,81","46.446,53","19.088,84","19.977,90","19.527,49","16.302,91","27.225,40","873,34",-,"111.343,49","107.820,90","105.264,15","111.659,67","110.968,98","110.813,89","110.674,85","111.659,67","111.659,67","104.410,83",-,-
PAULO EDUARDO MAESTRI BENGTSON,M,74,18,0,36,13,32,06/01/1974,"368.252,83","1.114.366,52","33.763,00","24.899,76","55.324,78","58.443,02","30.445,65","35.093,13","25.398,99","50.948,77","12.321,28","10.877,93","39.272,42","25.227,10",-,"111.659,64","111.659,64","111.225,25","111.659,64","111.659,64","109.864,15","111.659,64","111.659,64","111.659,64","111.659,64",-,-
PAULO ABI-ACKEL,M,77,0,15,5,0,52,21/06/1963,"264.502,84","1.107.774,27","33.763,00","50.879,76","37.955,13","38.334,70","34.690,33","37.784,96","17.048,14","19.193,24","11.703,00","7.031,98","9.800,90","80,70",-,"111.538,31","110.817,73","111.004,47","111.604,58","111.583,13","111.647,43","111.647,43","110.107,30","108.838,96","108.984,93",-,-
PAULO VELLOSO DANTAS AZI,M,84,4,4,40,3,22,14/01/1963,"303.819,28","1.048.327,58","33.763,00","26.573,17","22.575,78","39.470,93","45.960,76","54.315,35","40.677,23","23.921,98","20.173,45","14.938,36","15.158,92","53,35",-,"111.653,56","111.653,56","111.653,56","111.653,56","111.653,56","105.448,85","111.501,94","84.752,91","94.178,04","94.178,04",-,-
PAULO EDUARDO LIMA MARTINS,M,91,0,1,25,0,0,20/04/1981,"92.268,14","977.162,47","33.763,00","3.945,73","11.259,49","15.992,60","2.707,30","19.018,57","8.218,59","11.131,25","16.570,06","22,25","3.129,33","272,97",-,"102.152,26","98.860,68","99.214,26","98.007,37","106.521,83","89.495,08","89.495,08","93.465,44","98.709,04","101.241,43",-,-
PAULO ROBERTO FOLETTO,M,60,7,3,27,5,14,30/04/1956,"280.631,83","782.783,92","33.763,00",-,-,"0,19","39.961,07","51.630,42","33.587,39","45.223,11","39.622,49","36.912,19","32.404,03","1.290,94",-,"0,00","0,00","7.203,85","111.447,51","107.317,70","111.550,44","111.550,44","111.550,44","110.584,76","111.578,78",-,-
PAULO ROBERTO SEVERO PIMENTA,M,84,8,0,2,3,18,19/03/1965,"313.815,81","1.114.688,10","33.763,00","41.686,99","42.323,66","49.222,99","32.901,03","42.354,53","24.113,63","31.686,30","12.308,50","7.348,04","29.691,83","178,31",-,"111.354,73","111.252,94","111.313,04","111.544,32","111.544,32","111.544,32","111.544,32","111.501,47","111.544,32","111.544,32",-,-
PAULO GUSTAVO GANIME ALVES TEIXEIRA,M,91,1,0,42,1,18,19/04/1983,"47.205,35","611.595,71","33.763,00","5.824,49","6.334,72","7.106,41","5.938,04","11.947,54","1.814,90","903,97","4,58","3,16","7.327,54","0,00",-,"73.760,41","73.760,41","63.558,10","63.218,02","63.218,02","62.690,90","48.131,14","59.845,03","50.259,82","53.153,86",-,-
PAULO JOSE CARLOS GUEDES,M,79,7,6,46,7,23,01/10/1970,"325.450,77","1.111.487,07","33.763,00","50.413,88","36.385,16","43.402,14","41.593,85","47.827,78","21.450,49","21.887,90","27.132,68","21.181,05","14.036,67","139,17",-,"111.544,43","111.544,43","111.501,58","110.565,25","111.257,51","110.600,74","111.071,26","110.674,48","111.285,05","111.442,34",-,-
PAULO ROBERTO FREIRE DA COSTA,M,74,8,10,21,2,9,14/02/1955,"202.039,52","1.115.080,60","33.763,00","28.123,72","40.814,59","36.407,71","41.182,90","19.783,12","7.628,08","363,70","7.406,48","4.265,11","16.064,11","0,00",-,"111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06","111.508,06",-,-
LUIZ PAULO TEIXEIRA FERREIRA,M,84,0,8,73,0,37,09/05/1961,"321.190,07","1.116.573,36","33.763,00","40.466,04","38.234,76","37.583,20","42.509,71","39.346,86","25.284,11","20.834,46","19.352,10","7.832,41","48.080,49","1.665,93",-,"111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.659,80","111.635,16",-,-
PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,M,69,22,1,9,8,10,11/10/1980,"328.763,67","939.350,07","33.763,00","19.734,06","28.439,45","40.556,30","47.398,69","67.828,90","35.714,39","30.671,96","28.461,24","16.759,00","10.109,67","3.090,01",-,"94.142,10","93.371,15","93.371,15","92.962,20","93.371,15","102.548,76","89.862,58","88.681,70","91.617,35","99.421,93",-,-
Paulo Sérgio Ramos Barboza,M,75,13,4,51,23,17,18/10/1944,"308.359,53","1.116.170,88","33.763,00","31.306,73","33.083,48","45.488,92","40.776,21","41.894,52","31.441,15","25.189,78","21.649,26","20.853,85","14.891,88","1.783,75",-,"111.560,91","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33","111.623,33",-,-
RICARDO AUGUSTO MACHADO DA SILVA,M,89,0,3,51,0,14,01/09/1985,"309.195,05","1.112.441,45","33.763,00","46.869,46","45.084,75","39.767,27","44.758,85","27.339,96","31.421,18","25.575,18","20.837,80","14.187,11","11.911,55","1.441,94",-,"110.579,85","110.579,85","111.362,96","111.416,97","111.416,97","111.416,97","111.416,97","111.416,97","111.416,97","111.416,97",-,-
MARCOS ROBERIO RIBEIRO MONTEIRO,M,81,6,5,37,4,18,15/02/1970,"299.173,03","1.112.616,52","33.763,00","47.590,17","43.538,26","54.646,16","30.958,46","42.748,76","28.787,21","13.260,89","3.509,26","5.301,74","28.832,12","0,00",-,"111.586,97","111.592,17","111.596,36","111.479,16","111.537,03","111.586,97","109.754,31","110.277,92","111.586,97","111.618,66",-,-
