nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,gasto_total_par,gasto_total_gab,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
ELIEL MÁRCIO DO CARMO,M,79,5,8,12,1,20,26/10/1973,"271.484,62",0.7712868802824183%,"33.763,00","31.696,46","33.415,26","37.481,58","40.691,83","36.954,21","31.408,70","21.963,05","10.012,55","6.213,10","20.620,89",-,-,"111.342,23","108.446,45","105.583,01","109.512,89","110.106,32","108.231,60","106.012,51","105.725,06","103.118,90","106.095,00","1.026,99",-
JOSÉ LEÔNIDAS DE MENEZES CRISTINO,M,85,7,0,48,5,18,03/06/1957,"283.044,63",0.763714774280824%,"33.763,00","32.267,47","34.350,83","36.617,13","36.516,96","40.189,49","25.613,05","35.368,62","14.652,50","7.798,15","18.180,68",-,-,"95.364,13","97.315,51","97.580,89","101.325,85","100.457,10","102.548,80","102.548,80","102.548,80","102.548,80","102.548,80","1.489,75",-
JOSÉ LEONARDO COSTA MONTEIRO,M,90,2,0,78,2,31,09/10/1951,"370.539,54",0.33857441203933875%,"33.763,00","30.287,88","38.974,45","44.293,05","42.783,49","49.461,68","32.773,39","37.659,13","39.429,92","28.141,96","26.644,63",-,-,"111.277,54","111.461,68","111.544,44","111.544,44","111.544,44","111.549,09","111.399,39","111.591,36","111.580,80","111.580,80","89,96",-
LINCOLN DINIZ PORTELA,M,86,5,1,9,0,0,03/11/1953,"301.526,94",0%,"33.763,00","24.877,94","37.260,00","27.687,95","37.659,28","33.349,11","37.644,95","32.037,05","27.785,28","19.637,79","23.587,59",-,-,"111.204,76","111.204,76","111.204,76","105.937,25","110.871,12","106.809,84","108.941,95","109.398,07","109.763,49","110.179,61","0,00",-
LOESTER CARLOS GOMES DE SOUZA,M,66,1,25,8,0,0,21/09/1982,"427.809,14",2.1769573657189274%,"33.763,00","51.222,08","55.278,77","68.803,71","24.009,95","41.378,22","28.151,93","27.178,56","45.367,11","40.789,46","45.225,17",-,-,"108.697,08","108.954,19","109.105,86","111.299,32","109.798,14","95.357,90","101.706,13","105.392,98","105.314,71","102.987,41","404,18",-
LUCAS DE VASCONCELOS GONZALEZ,M,88,2,2,31,1,15,21/12/1988,"141.356,58",0.04880212156892703%,"33.763,00","14.001,15","13.315,11","17.768,47","28.588,17","23.175,15","17.992,12","7.639,28","4.616,15","6.645,82","7.490,33",-,-,"68.437,72","62.951,08","63.166,33","71.384,50","67.438,96","74.468,04","66.881,33","62.426,29","60.148,68","79.772,15","124,83",-
LOURIVAL GOMES DE ALMEIDA,M,86,3,3,14,2,5,22/07/1955,"314.643,56",1.2030057257896494%,"33.763,00","14.519,64","25.717,22","37.716,76","74.614,42","46.990,20","33.015,39","23.533,31","15.875,95","17.628,00","24.074,18",-,-,"111.124,38","110.908,22","111.228,05","111.586,93","111.285,85","111.489,89","110.688,82","111.413,02","111.471,72","104.496,00","958,49",-
LUCAS BELLO REDECKER,M,85,4,3,49,4,2,26/05/1981,"297.861,04",0.7941819558507753%,"33.763,00","18.366,95","19.763,29","37.306,39","50.732,70","48.214,90","27.914,60","43.469,68","18.833,03","14.310,90","17.733,59",-,-,"111.417,00","110.962,07","109.414,50","110.762,68","108.345,27","110.962,07","110.758,96","110.962,07","110.962,07","111.152,85","1.215,01",-
LUCAS DE CASTRO SANTOS,M,67,25,0,19,12,58,08/04/1987,"228.649,05",0%,"33.763,00","22.480,50","18.432,79","22.998,58","26.003,40","21.079,17","20.905,29","18.201,85","23.018,52","21.902,15","33.626,80",-,-,"111.617,15","111.617,15","111.617,15","111.617,15","111.617,15","111.617,15","109.647,32","110.427,08","110.907,87","111.653,56","0,00",-
LUCIANO DUCCI,M,83,0,9,28,0,21,23/03/1955,"325.541,91",0%,"33.763,00","46.474,19","48.810,14","35.792,35","47.967,64","32.052,26","31.152,19","36.214,31","17.713,75","17.321,87","12.043,21",-,-,"109.566,95","109.566,95","109.566,95","107.107,37","109.566,97","108.864,14","110.895,38","110.895,38","110.895,38","110.895,38","0,00",-
LUCIANO CALDAS BIVAR,M,51,41,0,0,0,0,29/11/1944,"184.311,36",0%,"33.763,00","18.381,42","23.290,80","31.445,95","43.618,09","19.048,08","14.831,36","14.148,53","7.726,22","9.042,28","2.778,63",-,-,"91.073,95","93.911,18","93.911,18","95.106,71","88.454,35","98.832,14","103.178,96","109.418,54","111.356,48","111.356,48","0,00",-
LUCIO ANTONIO MOSQUINI,M,65,18,9,7,10,4,23/07/1969,"317.655,34",0.3576440780658296%,"33.763,00","22.814,86","37.943,72","37.277,68","52.954,34","33.863,39","60.039,82","35.256,76","13.602,35","5.303,46","17.979,22",-,-,"103.573,81","103.573,81","104.259,44","105.078,15","105.167,90","105.577,36","103.610,02","109.603,64","107.559,68","107.026,06","619,74",-
LUIS HENRIQUE DE OLIVEIRA RESENDE,M,65,27,0,0,0,1,23/07/1971,"214.083,00",3.418706898909289%,"33.763,00","25.577,63","20.154,79","16.280,70","23.717,87","21.384,26","83.724,33","12.724,71","1.700,30","2.096,25","246,71",-,-,"102.787,88","107.579,52","107.414,98","102.578,95","106.200,45","103.260,32","87.097,78","88.793,47","86.249,93","84.639,17","6.475,45",-
LUIZ ANTONIO C. C. CORRÊA DA SILVA,M,92,0,0,15,2,13,27/12/1940,"338.551,92",1.7306056555004432%,"33.763,00","26.760,26","53.909,91","51.960,94","43.817,25","55.507,32","22.011,84","15.741,50","14.642,31","13.891,12","39.344,26",-,-,"111.465,47","111.465,47","110.744,43","111.157,09","111.390,88","111.068,18","108.984,95","110.976,29","111.271,35","110.764,95","965,21",-
MÁRCIO COSTA MACÊDO,M,52,1,1,8,2,4,18/09/1970,"170.636,10",0%,"33.763,00",-,-,-,"16.787,66","0,00","27.268,99","38.765,68","38.156,83","35.940,77","13.716,17",-,-,-,-,-,"46.665,52","0,00","53.660,67","87.537,03","101.530,81","110.745,63","111.392,65","0,00",-
LUIS CLAUDIO FERNANDES MIRANDA,M,91,1,0,65,0,0,27/03/1980,"198.128,85",0.23531094785580572%,"33.763,00","16.743,53","33.704,02","30.605,59","21.766,24","26.090,58","23.916,74","17.430,46","16.138,85","4.746,41","6.649,23",-,-,"106.579,01","108.384,08","109.890,74","110.052,17","110.052,17","108.853,56","107.084,79","108.333,76","106.788,74","106.788,74","337,20",-
MÁRCIO CARLOS MARINHO,M,74,11,7,21,5,6,12/12/1970,"377.422,20",5.413690631926268%,"33.763,00","28.608,42","24.612,71","87.100,11","42.787,11","35.803,17","34.980,07","29.850,24","23.287,44","13.207,27","54.226,75",-,-,"111.538,42","111.538,42","111.538,42","111.304,79","111.538,42","104.295,83","108.413,15","103.411,20","97.135,73","95.876,46","2.958,91",-
MARCOS AURÉLIO  PÁDUA RIBEIRO GONÇALVES DE SAMPAIO,M,86,3,3,3,5,45,19/09/1991,"305.743,52",0.11006350081307792%,"33.763,00","37.229,73","45.797,72","35.296,78","43.605,72","47.661,27","29.896,24","19.412,64","13.864,08","13.561,10","19.248,24",-,-,"111.453,36","111.453,36","111.453,36","110.719,20","111.453,36","111.453,36","110.990,79","110.945,59","110.315,41","107.940,85","170,00",-
MARCO AURELIO BERTAIOLLI,M,88,1,3,26,0,3,30/04/1968,"206.196,99",0%,"33.763,00","28.128,86","30.235,56","22.907,70","40.248,99","47.414,10","17.222,16","7.514,38","7.024,35","3.337,00","2.163,89",-,-,"104.253,35","107.457,85","110.229,17","106.721,56","106.982,17","95.359,26","95.003,00","95.003,00","95.003,00","94.241,84","0,00",-
DIONILSO MATEUS MARCON,M,82,1,9,41,5,6,21/09/1964,"358.429,31",1.267455482687032%,"33.763,00","33.805,52","34.685,04","46.776,77","43.567,04","67.340,35","42.706,44","25.113,89","25.890,66","17.413,91","19.958,86",-,-,"111.534,30","110.974,31","110.974,31","111.019,51","110.974,31","111.334,03","110.348,97","111.528,69","111.623,40","111.623,40","1.170,83",-
MARCOS ANTONIO PEREIRA,M,79,13,0,32,6,2,04/04/1972,"171.852,69",0.1073339220109566%,"33.763,00","33.000,03","21.288,53","42.830,84","31.532,05","19.781,81","17.820,20","2.744,05","883,19","735,01","978,18",-,-,"111.386,70","111.386,70","111.386,70","111.386,70","111.386,70","111.180,66","109.193,42","111.386,70","111.386,70","111.386,70","258,80",-
MÁRIO LÚCIO HERINGER,M,78,3,11,38,2,22,30/09/1954,"274.347,68",0.07715437840100972%,"33.763,00","35.777,47","30.872,80","52.890,28","33.664,82","44.007,32","25.044,69","27.897,92","11.606,96","7.490,70","5.000,00",-,-,"108.960,32","108.960,32","110.437,25","110.648,37","111.355,11","110.896,10","110.606,09","111.538,27","111.538,27","111.538,27","94,72",-
MARLON ARATOR SANTOS DA ROSA,M,63,9,20,7,4,3,25/09/1975,"341.132,31",1.1386550567646472%,"33.763,00","24.466,62","19.158,58","27.520,14","59.334,20","82.930,62","35.941,42","30.893,15","15.236,67","14.231,43","30.169,78",-,-,"111.188,97","111.502,04","111.502,04","111.502,04","111.502,04","109.087,84","111.502,04","111.502,04","111.502,04","104.960,35","1.249,70",-
MARIO S. M. NEGROMONTE JR.,M,71,19,2,7,8,7,31/08/1980,"284.307,76",0%,"33.763,00","26.386,19","33.065,98","33.489,75","54.891,47","58.105,20","26.596,75","27.166,91","10.040,39","1.001,41","13.563,71",-,-,"111.647,56","111.647,56","111.647,56","111.647,55","111.647,56","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","0,00",-
MARX BELTRÃO LIMA SIQUEIRA,M,83,6,3,32,4,24,28/11/1979,"286.848,74",0%,"33.763,00","43.947,39","60.863,33","59.802,08","24.587,92","39.037,85","10.485,07","8.409,92","2,48","198,65","39.514,05",-,-,"111.500,15","105.630,21","108.240,46","111.417,01","111.402,45","111.417,01","111.417,01","111.387,27","111.301,75","111.301,75","0,00",-
ANTONIO DA CRUZ FILGUEIRA NETO,M,76,12,4,17,13,16,25/04/1992,"420.209,75",1.9278806424565416%,"33.763,00","52.702,54","51.161,51","54.284,92","43.394,41","48.630,65","32.253,04","34.492,26","31.643,88","27.540,63","42.959,03",-,-,"111.586,84","110.907,07","111.283,58","111.283,58","111.283,58","111.283,58","111.283,58","111.283,58","111.283,58","111.283,58","1.146,88",-
MAURÍCIO ALEXANDRE DZIEDRICKI,M,90,1,1,11,8,20,26/07/1979,"378.904,42",0.13328908135832238%,"33.763,00","28.557,96","41.243,96","59.588,36","61.628,19","44.634,78","34.814,58","28.693,50","28.155,60","27.746,72","23.740,77",-,-,"111.082,77","111.611,06","111.268,24","109.535,38","110.282,65","108.881,43","102.269,49","108.505,54","111.074,03","110.218,46","100,00",-
CARLOS MAURO BENEVIDES FILHO,M,88,4,0,28,1,0,09/03/1959,"259.295,91",0.49476647011928354%,"33.763,00","21.129,13","18.098,14","36.566,13","32.089,23","44.445,37","29.659,65","21.607,31","13.765,35","7.891,60","33.025,01",-,-,"93.447,35","99.891,99","102.672,10","105.278,45","105.278,45","105.278,45","103.707,60","97.162,37","97.162,37","97.162,37","1.018,99",-
MAURO NAZIF RASUL,M,91,0,1,36,0,25,30/01/1959,"103.039,65",0.11680359525744423%,"33.763,00","4.235,25","3.815,58","13.417,43","26.117,27","17.031,41","21.453,99","8.734,30","4.519,14","1,25","3.256,45",-,-,"110.974,34","110.974,34","110.974,34","110.974,34","110.974,34","110.869,40","110.263,46","110.130,21","110.974,34","110.974,34","457,58",-
MERLONG SOLANO NOGUEIRA,M,83,8,1,49,5,15,17/09/1958,"326.197,01",1.9260117158121093%,"33.763,00","32.534,86","34.007,17","65.910,85","44.576,54","49.741,86","33.550,37","18.790,80","882,39","2.185,46","41.562,14",-,-,"111.514,07","111.514,07","109.889,21","108.365,90","108.365,90","108.365,90","111.006,30","111.514,07","109.968,51","110.758,00","2.454,57",-
MIGUEL LOMBARDI,M,92,0,0,59,0,13,29/01/1964,"217.790,83",1.079743531577479%,"33.763,00","21.529,06","20.198,21","30.632,06","45.564,65","38.065,72","12.768,86","16.882,42","10.720,35","11.587,90","7.771,10",-,-,"110.285,02","110.027,91","108.913,76","108.742,35","108.699,50","110.027,91","110.185,82","111.659,62","111.659,62","111.659,62","2.070,50",-
MISAEL ARTUR FERREIRA VARELLA,M,72,16,4,2,2,9,27/11/1959,"298.825,35",0.3034621119090781%,"33.763,00","40.550,65","28.772,67","39.473,99","55.694,58","36.515,71","22.863,70","26.098,84","9.549,21","6.139,63","32.867,48",-,-,"111.649,87","111.538,32","111.538,32","111.538,32","111.538,32","111.538,32","111.538,32","111.538,32","111.463,71","109.877,65","298,89",-
MILTON COELHO DA SILVA NETO,M,73,10,9,13,5,8,21/12/1964,"415.186,29",1.56053654649915%,"33.763,00","41.372,83","54.381,30","41.283,16","69.046,75","61.001,85","36.898,77","32.238,51","31.948,13","25.293,35","20.799,93",-,-,"98.440,42","99.358,12","99.358,12","106.925,15","99.628,66","98.996,63","107.236,13","110.253,98","110.995,68","111.066,80","921,71",-
MILTON VIEIRA PINTO,M,76,9,7,20,5,10,16/09/1962,"285.124,17",0%,"33.763,00","15.104,76","24.431,95","43.074,46","43.685,44","32.806,86","26.364,39","34.727,21","27.787,62","21.615,96","15.525,52",-,-,"109.457,78","109.457,78","106.894,46","106.497,63","106.497,63","109.984,28","110.730,78","111.653,57","111.653,57","111.581,37","0,00",-
MAURO RIBEIRO LOPES,M,84,0,8,20,0,24,24/05/1936,"327.838,68",0%,"33.763,00","29.210,99","42.786,99","43.725,40","51.164,98","42.443,21","31.636,03","29.963,37","26.198,94","19.363,50","11.345,27",-,-,"111.241,16","111.241,16","111.038,05","111.241,16","110.514,27","111.241,16","111.241,16","104.860,70","98.879,02","109.466,00","0,00",-
NELSON NED PREVIDENTE,M,79,9,4,20,0,0,14/02/1960,"324.683,53",1.8692036790498183%,"33.763,00","51.552,78","56.554,42","57.033,13","58.746,46","51.660,97","6.365,91","10.378,00","3.887,61","6.650,92","19.712,60",-,-,"110.616,22","110.616,22","110.616,22","110.616,22","110.616,22","110.616,22","102.405,85","66.158,10","63.594,02","84.862,71","2.140,73",-
NEREU CRISPIM,M,76,15,1,36,16,14,21/07/1963,"420.924,99",3.307298183242506%,"33.763,00","52.892,77","67.730,02","46.926,51","35.764,37","36.681,89","43.612,55","21.861,94","16.947,45","12.990,65","84.534,84",-,-,"109.332,85","110.197,30","111.617,15","111.444,57","111.498,26","109.844,51","108.850,50","107.832,63","108.701,27","108.613,75","982,00",-
NERI GELLER,M,60,14,18,25,7,18,07/11/1968,"327.355,60",1.3887002216799564%,"33.763,00","26.016,06","29.783,49","39.536,45","45.632,52","41.096,72","37.712,93","29.857,26","35.665,64","22.036,30","18.384,59",-,-,"111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","111.647,55","105.317,58","111.647,55","110.634,76","1.633,64",-
NEUCIMAR FERREIRA FRAGA,M,87,1,4,68,0,7,26/06/1966,"359.860,53",3.022787667474779%,"33.763,00","34.545,81","33.612,52","49.129,99","67.613,75","55.029,76","35.393,03","21.575,54","12.366,55","10.463,83","38.274,81",-,-,"111.368,66","111.040,46","111.107,83","109.270,87","111.107,83","107.980,30","110.501,19","110.501,19","107.478,78","108.566,32","1.854,94",-
NILSON PINTO DE OLIVEIRA,M,77,0,15,26,0,39,25/03/1952,"340.817,41",0.3625018759888969%,"33.763,00","39.664,04","46.872,66","56.655,20","35.301,13","37.457,02","36.143,13","32.546,53","26.440,59","14.982,99","14.304,13",-,-,"111.368,62","111.368,62","111.368,62","109.771,77","109.207,75","111.671,95","111.671,95","110.439,24","109.852,23","105.380,71","449,99",-
NEWTON CARDOSO JUNIOR,M,85,1,6,25,1,12,11/11/1979,"282.055,82",0.02063534852141183%,"33.763,00","62.781,95","58.116,52","45.506,36","33.316,42","30.662,50","24.375,56","21.306,96","5.675,41","213,73","73,61",-,-,"111.046,40","110.209,90","111.152,64","110.209,90","110.209,90","110.104,96","108.206,02","109.148,38","109.148,38","108.993,02","26,80",-
ANTONIO CARLOS NICOLETTI,M,75,1,16,59,0,31,21/07/1981,"372.203,94",0.2590889177704675%,"33.763,00","38.016,72","67.484,95","68.546,23","44.145,52","46.662,93","29.902,09","21.903,43","14.408,35","16.165,84","24.630,72",-,-,"106.715,96","104.753,67","100.268,19","102.051,33","104.648,11","104.582,59","104.199,41","104.950,39","104.708,15","104.708,15","337,16",-
NEY LEPREVOST NETO,M,58,6,2,51,4,0,26/10/1973,"250.300,45",0.08405018381491886%,"33.763,00",-,-,-,"32.989,51","28.018,44","37.760,39","35.739,57","26.480,21","19.925,20","69.342,63",-,-,"0,00","0,00","0,00","102.555,61","76.475,21","109.080,88","109.944,25","111.055,51","110.166,27","111.194,37","44,50",-
NILTO IGNACIO TATTO,M,87,4,1,28,4,17,31/07/1963,"333.008,38",5.200993174945564%,"33.763,00","21.771,11","30.106,02","49.511,22","65.168,75","34.833,12","26.285,28","25.096,49","26.593,94","14.143,77","35.412,98",-,-,"111.240,10","111.304,77","111.477,66","111.477,66","111.477,66","111.477,66","111.477,66","111.477,66","111.477,66","111.477,66","4.085,70",-
OSMAR JOSÉ SERRAGLIO,M,90,2,0,18,1,5,23/05/1948,"322.631,42",1.6016133883029349%,"33.763,00","19.077,70","29.207,40","26.130,41","44.531,69","20.067,80","51.037,47","44.790,12","55.420,83","11.647,40","19.012,20",-,-,"102.045,23","102.045,23","102.373,18","107.128,41","107.128,41","111.455,77","111.604,99","111.604,99","111.604,99","111.604,99","1.708,40",-
OLIVAL HENRIQUE MARQUES DE SOUZA,M,81,6,5,14,1,21,09/01/1982,"348.705,13",0.041633198828952986%,"33.763,00","64.969,14","46.736,63","44.780,36","46.335,41","30.622,11","33.972,17","36.328,22","102,58","52,03","44.758,25",-,-,"111.623,31","111.623,31","109.592,61","111.649,12","111.004,98","111.623,31","111.623,31","111.623,31","111.623,31","109.374,82","48,23",-
ONYX DORNELLES LORENZONI,M,54,0,15,11,0,15,03/10/1954,"146.437,17",0.35755744042581056%,"33.763,00",-,-,"2.593,42","26.612,67","28.196,18","21.776,63","21.981,35","21.195,51","7.837,63","15.591,09",-,-,"0,00","0,00","1.497,48","107.801,60","80.959,97","110.926,90","98.786,99","82.200,32","78.655,54","82.876,18","652,69",-
NIVALDO FERREIRA DE ALBUQUERQUE NETO,M,67,10,15,3,5,19,07/01/1988,"393.548,07",0%,"33.763,00","51.142,75","32.527,80","36.723,40","45.988,02","44.128,80","40.122,75","36.721,32","36.428,86","25.644,56","44.119,81",-,-,"109.956,52","110.816,48","110.816,48","110.816,48","110.816,48","110.835,89","111.538,32","111.538,32","111.538,32","109.870,03","0,00",-
OSMAR GASPARINI TERRA,M,78,13,1,51,19,1,18/02/1950,"353.671,24",6.5978655175410905%,"33.763,00","33.397,85","46.176,89","34.640,39","53.227,35","49.625,96","32.297,67","37.884,20","36.597,23","7.240,39","15.804,50",-,-,"109.825,73","111.653,70","111.653,70","111.653,70","111.653,70","111.406,01","110.461,51","111.544,56","111.544,56","111.544,56","6.778,81",-
OSIRES RODRIGUES DAMASO,M,53,0,7,28,3,14,16/04/1963,"257.099,87",8.753924467339287%,"33.763,00","31.408,43","40.910,15","58.301,89","21.231,60","73.416,69","1.370,50",-,-,-,"28.450,28",-,-,"110.263,55","111.361,15","110.459,82","108.465,34","110.403,44","105.166,62","104.902,35","104.902,35","106.842,20","107.140,64","2.010,33",-
ODAIR JOSÉ DA CUNHA,M,83,6,3,10,1,4,18/06/1976,"312.278,47",0.6890262473246352%,"33.763,00","55.346,62","34.653,62","37.546,58","34.172,80","42.542,21","29.794,44","18.443,73","32.816,78","7.463,12","18.905,38",-,-,"111.079,82","110.852,83","110.852,83","111.168,04","109.882,90","110.621,09","105.404,52","110.351,88","111.192,48","111.192,48","593,19",-
ORLANDO SILVA DE JESUS JUNIOR,M,86,6,0,55,2,29,27/05/1971,"347.684,93",0.18045151374759832%,"33.763,00","34.078,45","50.115,29","48.011,52","35.143,24","36.761,90","42.254,79","31.343,85","29.333,12","17.559,57","22.948,20",-,-,"111.617,03","111.617,03","111.617,03","111.617,03","111.617,03","110.482,75","110.592,71","110.092,96","111.501,80","110.935,34","135,00",-
OSSESIO JOSE DA SILVA,M,91,0,1,40,0,24,09/12/1954,"332.249,81",1.5658151900980244%,"33.763,00","22.856,08","32.967,51","44.885,09","42.878,97","44.251,03","36.165,64","32.571,00","36.167,25","16.417,17","20.995,13",-,-,"95.126,13","100.049,61","100.049,61","107.399,42","101.155,61","109.451,62","109.451,62","109.451,62","109.451,62","107.193,99","2.094,94",-
LUIZ HILOSHI NISHIMORI,M,70,19,3,19,6,7,09/04/1949,"330.074,38",0%,"33.763,00","26.662,66","40.716,70","40.962,20","35.368,39","48.292,97","19.045,34","23.509,88","23.445,46","13.016,89","59.053,89",-,-,"110.729,39","107.428,89","110.412,97","111.629,27","111.629,27","111.629,27","111.629,27","111.586,42","111.629,27","111.629,27","0,00",-
OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,M,85,7,0,38,3,5,07/07/1977,"330.138,13",1.6073627019670473%,"33.763,00","28.191,31","32.661,13","41.179,54","40.153,83","35.834,47","38.194,37","35.104,11","30.226,34","27.484,62","19.263,73",-,-,"111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","111.077,82","1.844,68",-
LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,M,92,0,0,58,0,1,10/12/1977,"266.078,96",0%,"33.763,00","31.403,73","29.475,83","44.044,70","37.791,57","36.275,81","25.474,97","22.228,02","13.587,63","12.264,36","13.532,34",-,-,"111.586,85","109.394,70","110.910,09","111.665,82","111.665,82","111.665,82","111.338,69","111.132,04","111.132,04","104.252,59","0,00",-
JOSE OTACI BARROSO DO NASCIMENTO,M,74,4,14,9,3,36,18/08/1977,"376.012,81",0%,"33.763,00","34.097,64","49.392,31","48.210,97","71.884,29","34.983,27","52.613,86","34.187,15","24.172,09","19.176,44","7.294,79",-,-,"110.634,47","110.634,47","111.461,19","105.399,95","104.089,69","109.079,92","98.027,86","102.477,45","105.600,39","103.322,14","0,00",-
LUIZ CARLOS MOTTA,M,84,0,8,25,0,25,24/04/1959,"202.712,51",0.12379531543953831%,"33.763,00","14.042,14","18.661,32","24.345,26","56.728,50","27.399,17","17.013,50","17.082,53","5.413,05","9.042,24","12.724,51",-,-,"111.398,85","111.398,85","111.398,85","111.398,85","111.398,85","111.354,57","110.070,44","110.070,44","110.070,44","106.977,65","260,29",-
OTONI MOURA DE PAULO JUNIOR,M,84,4,4,22,5,10,22/11/1976,"313.906,30",0%,"33.763,00","29.251,54","38.621,21","33.877,22","34.241,98","38.157,30","39.525,24","32.193,49","28.983,36","14.438,89","24.616,07",-,-,"111.344,26","111.344,26","103.979,14","108.218,25","109.309,25","109.698,65","110.326,95","111.397,23","108.096,55","111.000,79","0,00",-
LUIZ PHILIPPE DE ORLEANS BRAGANÇA,M,83,0,9,26,0,7,03/04/1969,"237.438,20",0%,"33.763,00","19.234,16","41.336,91","21.511,75","47.173,05","44.161,20","7.449,77","24.167,48","10.538,27","769,81","21.095,80",-,-,"80.014,24","80.014,24","78.351,82","88.736,90","77.614,00","88.736,90","87.317,09","86.046,97","84.982,14","84.982,14","0,00",-
LUIZ GOULARTE ALVES,M,83,6,3,79,3,4,06/06/1962,"285.525,16",0.6812746576241935%,"33.763,00","17.529,81","25.209,26","27.551,78","60.114,45","33.767,73","51.834,55","20.110,94","22.280,94","15.181,93","10.898,43",-,-,"108.232,40","109.781,35","109.900,50","109.900,50","109.900,50","109.900,50","108.325,93","109.537,14","109.900,50","109.900,50","1.045,34",-
VITOR HUGO DE ARAUJO ALMEIDA,M,87,5,0,3,0,0,31/05/1977,"248.371,66",0.834427049051206%,"33.763,00","16.432,60","26.263,43","32.192,06","53.974,90","24.370,73","20.455,63","20.521,90","18.883,41","19.878,69","14.201,72",-,-,"107.407,57","103.693,97","109.197,36","109.899,43","107.703,17","101.572,63","102.809,45","106.773,19","109.126,21","111.653,64","1.196,59",-
MARCELO HENRIQUE TEIXEIRA DIAS,M,82,0,10,12,0,5,16/02/1974,"286.809,79",0.5500472028498934%,"33.763,00","30.085,79","36.472,63","48.468,84","42.150,69","34.529,84","25.388,43","21.373,22","20.519,82","20.596,13","6.614,84",-,-,"110.549,48","110.549,48","110.549,48","110.453,99","110.549,48","109.913,41","111.574,63","110.366,56","109.791,29","109.791,29","609,56",-
MARCEL VAN HATTEM,M,92,0,0,73,13,4,08/11/1985,"98.535,89",0.19179660105346136%,"33.763,00","8.123,69","12.211,18","13.243,58","14.137,18","12.804,33","10.989,52","6.481,38","8.305,85","1.594,95","9.969,54",-,-,"59.210,65","74.561,08","77.565,06","88.136,42","86.027,94","88.475,30","88.365,70","66.535,02","50.212,88","50.212,88","674,69",-
MARCELO RIBEIRO FREIXO,M,87,0,5,4,0,14,12/04/1967,"227.587,00",0%,"33.763,00","25.371,50","37.740,75","19.009,57","37.663,26","39.407,40","20.187,89","24.073,45","6.438,59","3.826,90","13.867,69",-,-,"109.763,04","108.881,53","107.855,63","106.834,03","110.816,54","107.170,93","111.113,71","105.198,94","100.500,32","100.512,40","0,00",-
MARCELO GUILHERME DE ARO FERREIRA,M,84,3,5,10,2,47,12/06/1987,"309.023,43",0.028084175271611007%,"33.763,00","26.986,31","36.645,34","47.099,34","41.663,07","36.707,50","44.619,68","30.286,71","26.697,75","14.022,88","4.270,13",-,-,"106.502,04","111.068,56","111.653,48","103.998,48","104.573,06","103.998,48","108.171,78","109.020,22","111.580,78","110.200,13","24,72",-
MARCELO CALERO FARIA GARCIA,M,65,5,0,52,7,23,07/07/1982,"194.585,57",1.1450892705107134%,"33.763,00",-,"1,10","0,00","28.404,63","29.402,30","33.524,41","20.206,58","29.621,93","26.800,12","25.447,67",-,-,"0,00","23.880,29","3.594,88","59.918,95","49.213,63","67.197,14","73.698,14","80.943,09","86.692,72","89.528,34","1.176,83",-
MARCIO LUIZ ALVINO DE SOUZA,M,92,0,0,3,0,2,14/06/1969,"134,51",0%,"33.763,00","0,65","10,41","24,07","20,48","12,54","24,95","21,49","16,96","2,96","0,00",-,-,"111.659,72","109.690,06","111.659,72","111.392,82","110.429,57","109.744,53","99.030,68","98.700,75","100.771,53","101.884,90","0,00",-
MARCIO DELLA VALLE BIOLCHI,M,82,8,2,1,0,7,23/05/1979,"328.745,98",0.8674198754521544%,"33.763,00","29.839,52","27.502,09","37.568,05","62.647,47","60.835,16","28.392,17","39.477,13","22.006,65","9.774,70","9.645,25",-,-,"111.398,83","111.398,83","111.313,13","111.082,43","110.867,47","107.055,29","104.805,27","104.805,27","104.805,27","104.805,27","1.057,79",-
MÁRCIO DA SILVEIRA LABRE,M,88,2,2,40,0,15,27/02/1974,"257.654,80",0.041256361921048236%,"33.763,00","31.765,87","30.612,66","43.142,47","39.322,53","38.731,34","28.005,00","17.658,24","14.921,61","10.479,54","2.959,53",-,-,"110.430,70","111.602,13","111.624,11","111.612,93","110.842,85","111.659,50","111.035,13","111.271,52","111.646,42","111.429,65","56,01",-
