nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,gasto_total_par,gasto_total_gab,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
MARIA PERPÉTUA DE ALMEIDA,F,86,4,2,56,8,27,28/12/1964,"397.294,72",0.516386699550234%,"33.763,00","40.876,75","38.531,07","65.864,03","53.571,92","66.620,97","37.080,29","43.254,26","14.245,86","16.783,06","19.979,66",-,-,"111.465,58","106.860,33","104.769,12","111.544,45","111.544,45","111.544,45","111.499,84","111.405,91","111.429,19","111.429,19","486,85",-
KATIA DA SILVA SASTRE,F,91,0,1,38,0,19,04/04/1976,"373.876,63",0.21696532753344216%,"33.763,00","34.893,09","34.694,24","64.166,28","36.339,70","35.385,20","38.923,80","34.961,86","43.018,05","29.335,74","22.064,62",-,-,"107.322,54","104.138,84","105.140,20","105.351,11","105.895,02","96.070,39","98.655,82","111.265,29","111.265,29","110.985,86","94,05",-
MARIA AUXILIADORA SEABRA REZENDE,F,71,0,3,69,3,41,01/10/1964,"244.204,17",0%,"33.763,00","20.187,34","51.058,21","42.305,79","47.722,61","52.041,49","22.610,88","8.277,85",-,-,-,-,-,"97.131,95","97.131,95","102.063,65","97.310,99","104.981,11","99.796,88","102.973,35","109.375,33","111.544,35","111.545,52","0,00",-
ROSA NEIDE SANDES DE ALMEIDA,F,88,3,1,40,4,5,08/08/1963,"360.348,67",21.869579317495234%,"33.763,00","35.689,04","50.953,17","65.702,41","42.534,13","36.747,44","32.039,17","23.335,58","18.867,29","10.899,48","23.046,77",-,-,"111.574,65","110.892,89","108.386,56","110.196,13","109.037,91","109.389,74","109.971,90","109.688,57","109.645,72","111.202,48","20.534,19",-
DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,F,67,17,8,24,13,16,30/01/1986,"221.802,92",0.10737286586426345%,"33.763,00","24.757,35","14.536,29","33.354,13","38.636,18","32.630,75","25.835,19","21.096,42","20.196,27","4.322,45","6.205,76",-,-,"103.819,39","108.270,50","109.719,50","110.134,52","110.069,34","109.472,23","110.404,13","110.404,13","110.398,05","108.576,72","232,13",-
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,F,91,0,1,34,0,7,21/06/1973,"372.618,22",5.425364392338843%,"33.763,00","73.518,31","24.414,79","47.486,37","28.947,17","49.562,35","39.390,78","27.825,99","17.636,42","7.350,58","50.485,46",-,-,"111.465,49","111.400,50","110.738,38","111.439,63","111.378,13","111.111,26","111.351,62","111.476,44","111.465,50","111.483,67","6.000,00",-
REJANE RIBEIRO SOUSA DIAS,F,90,0,2,65,0,33,04/09/1972,"241.602,52",0.2583005497368408%,"33.763,00","16.913,54","23.065,31","34.072,61","35.393,20","41.316,06","27.658,11","30.276,40","10.634,60","10.120,33","11.597,34",-,-,"94.123,29","94.123,29","94.123,29","103.386,00","96.640,01","97.900,48","110.730,33","111.077,25","111.077,25","109.208,19","555,02",-
ELCIONE THEREZINHA ZAHLUTH BARBALHO,F,74,8,10,11,3,15,05/10/1944,"324.749,25",1.942703101993164%,"33.763,00","18.282,77","21.903,47","42.172,90","50.424,42","54.698,46","44.680,57","25.428,51","30.182,96","15.955,03","18.147,74",-,-,"109.942,97","108.266,63","106.606,75","110.173,43","106.963,42","110.012,89","110.173,43","111.342,81","111.617,17","105.768,72","2.872,42",-
ÉRIKA JUCÁ KOKAY,F,90,1,1,132,1,16,15/08/1957,"219.455,01",0.2092738218470587%,"33.763,00","21.175,36","26.961,36","57.030,55","69.810,79","8.623,76","1.267,02","375,92","393,19","354,58","33.212,46",-,-,"106.905,18","108.909,18","111.417,57","111.623,02","111.495,83","111.495,84","110.449,20","109.666,70","111.532,23","111.473,53","250,02",-
Geovânia de Sá,F,91,1,0,15,0,0,30/03/1972,"307.449,27",8.38496323215712%,"33.763,00","24.548,31","31.895,95","46.155,40","38.575,18","48.301,66","41.038,25","24.556,46","10.926,74","3.937,68","25.505,13",-,-,"111.111,81","111.610,95","111.659,69","110.768,99","111.659,69","110.692,78","103.468,98","111.168,24","111.168,24","106.547,85","12.008,51",-
